index,canonical_name,status,index_name,latdeg,latmin,londeg,lonmin,type,note,instances,aka,latitude,longitude
1,Ab-i-Istada,,Ab-i-Istada,,,,,water,,"138, 153, 153b",,,
2,Ab-i-Khan,,Ab-i-Khan,,,,,,? Rabat-i Sarhang,"67b, 69b",,,
3,Aba Meadow,,Aba Meadow,,,,,,Kabul,"126, 126b",,,
4,Abapur,,Abapur,,,,,,? Chandwar,358,,,
5,Abuha,,Abuha,,,,,,2 mi. sw of Barikot on Swat River,236,,,
6,Abyar Meadow,,Abyar Meadow,,,,,,Samarkand,39,,,
7,Adampur,,Adampur,,,,,,? between Kalpi and Kora,"361b, 379",,,
8,Adinapur,,Adinapur,,,,,,near mod. Jalalabad,"131b—132b, 137b, 134, 134b, 214, 249",,,
9,Adusa,,Adusa,,,,,,? Etawah,358b,,,
10,Islamic Republic of Afghanistan,x,Afghanistan,,,,,region,,"128, 131b, 138, 141, 147, 225",,,
11,Agra,x,Agra,27,10,78,0,,,"256, 256b, 267-269, 274, 291b, 292b, 294, 294b, 296, 298, 298b, 299b, 304b, 309b, 325b, 326, 328b, 330-31, 335b, 339, 341b, 344b, 345, 347, 348, 351, 354, 356a-358, 362, 364b, 375, 377, 380",,27.1666666667,78
12,Ahangaran,,Ahangaran,,,,,water,,"54b, 98b, 99b, 103b",,,
13,Ahār,x,Ahar,24,35,73,44,,,297b,,24.5833333333,73.7333333333
14,Aībak,x,Aibak,36,12,68,1,,,"121, 308b",,36.2,68.0166666667
15,Ayvaj,x,Aivadzh,36,59,68,2,,,"56b, 68, 120b, 124b",,36.9833333333,68.0333333333
16,Yilgāh-e Ājar,x,Ajar,35,22,67,30,,,"120b, 121, 122, 122b, 126b, 155, 184b",,35.3666666667,67.5
17,Akhsi,?,Akhsi,40,51,71,22,,,"4b, 5, 6, 7b, 9, 13b, 17, 17b, 18, 23, 25, 31b, 32, 48b, 51b, 52, 52b, 54b, 61b–63b, 72, 72b, 74, 74b, 77, 78, 103b, 104, 108, 109-111, 113b, 114, 117-18, 119, 234, 234b",,40.85,71.3666666667
18,Akriyawa,,Akriyawa,,,,,,?,254b,,,
19,Alah Sāy,x,Ala Say,34,53,69,43,,,"139b, 140",,34.8833333333,69.7166666667
20,Ala Tagh,,Ala Tagh,,,,,,? s of Qalat,158b,,,
21,Alayskiyy Khrebet,x,Alay Mountains,,,,,mountain,,80,,,
22,Alayluq Orchin,,Alayluq Orchin,,,,,region,? Fergana,104,,,
23,Alghu Tagh,,Alghu Tagh,,,,,mountain,Taligan,35,,,
24,Ali Masjid,x,Ali Masjid,34,12,71,16,,,"233, 243b, 244, 253",,34.2,71.2666666667
25,Aliabad,,Aliabad,,,,,,? Samarkand,86,,,
26,Alīngār Darah,x,Alingar,34,50,70,21,region,,"133, 154, 251",,34.8333333333,70.35
27,‘Alīsheng,x,Alishang,34,47,70,6,region,,"133, 154, 214, 251",,34.7833333333,70.1
28,Olmaliq,x,Almalyk,,,,,,"mod. Kuldzha, Turkistan",1b,Almalyk,,
29,‘Alāqahdārī-ye Almār,x,Almar,35,50,64,32,,,184b,,35.8333333333,64.5333333333
30,Almaty,x,Almatu,43,15,76,57,,mod. Vernyy,1b,Vernyy,43.25,76.95
31,Alwar,x,Alwar,27,34,76,36,,,"308, 325b—327, 381",,27.5666666667,76.6
32,Ambahār River,x,Ambahar,34,30,71,30,water,,221,,34.5,71.5
33,Ambāla,x,Ambala,30,21,76,50,,,262,,30.35,76.8333333333
34,Amia,,Amia,,,,,,? Dara-i Nur,249b-250a,,,
35,Amroha,x,Amroha,28,55,78,28,,,380,,28.9166666667,78.4666666667
36,Anabar Koh,,Anabar Koh,,,,,mountain,Konduz,35b,,,
37,Republic of Turkey,x,Anatolia,,,,,region,,"129, 264, 311, 319, 364",,,
38,Andarab,,Andarab,,,,,water,,"29b, 123, 123b, 125b, 128, 130b, 140b, 238, 332b",,,
39,Anderana,,Anderana,,,,,,? on the Sohan,230b—231b,,,
40,Andijon,x,Andizhan,40,48,72,23,,,"(2-10), 13-14b, 15b, 16b-18, 25, 27b, 31b, 32, 32b, 34, 37b—39, 5lb—55, 58b, 59b, 61-62, 63, 63b, 64b, 65b-66b, 67b, 69b, 70b—72, 73b—74b, 77, 78, 79b, 94, 97b, 104-105b, 106b, 107b, 108, 109, 110-111, 112b, 119, 122b, 131b, 140b, 144b, 156, 176, 200b, 234, 236, 352b",,40.8,72.3833333333
41,Andkhōy,x,Andkhui,36,57,65,7,,,"26, 122, 165, 168, 175, 204b",,36.95,65.1166666667
42,Anwāra,x,Anwar,27,13,78,11,,mod. Anwara,"331b, 357, 358",Anwar,27.2166666667,78.1833333333
43,Ao Dara,?,Ao Dara,35,48,66,67,,,"130b, 155, 202b",,35.8,67.1166666667
44,Aqar Tozi,,Aqar Tozi,,,,,,? Zaamin,19,,,
45,Aq Kotal,,Aq Kotal,,,,,,Samarkand-Khodzhent,69,,,
46,Aq Qachghay Yaylagh,,Aq Qachghay Yaylagh,,,,,,Ura-Tyube,13,,,
47,Aq Saray Meadow,,Aq Saray Meadow,,,,,campground,"Karabagh, Kabul",126,,,
48,Aq Su,,Aq Su,,,,,water,Ura-Tyube,18,,,
49,Arabia,x,Arabia,,,,,region,,279,,,
50,Archakent,,Archakent,,,,,,? near Kassan,72,,,
51,Arkhian Fort,,Arkhian Fort,,,,,fort,? Fergana,73,,,
52,Armian,,Armian,,,,,,? Fergana,70b,,,
53,Arrah,x,Arrah,25,34,84,40,,,"368b, 369",,25.5666666667,84.6666666667
54,Arys,,Arys,,,,,water,N of Tashkent,8,,,
55,Ashpara,,Ashpara,,,,,,Mughulistan,10,,,
56,Astarabad,,Astarabad,,,,,region,,"26, 26b, 36, 41, 41b, 42b, 57b, 58, 165, 165b, 166b, 168, 171, 171b, 173, 279, 286",,,
57,Astarob,,Astarob,,,,,,?,162b,,,
58,Astrakhan,x,Astrakhan,,,,,,,164,,,
59,Atar,,Atar,,,,,,? Laghman,"134, 214b, 249b, 250b",,,
60,Atraulī,x,Atrauli,28,2,78,17,,,331,,28.0333333333,78.2833333333
62,Ay Tughdi,,Ay Tughdi,,,,,,? on the Baran,"161b, 162",,,
63,Aysh Hill,,Aysh Hill,,,,,,Andizhan,"66, 106",,,
64,Republic of Azerbaijan,x,Azerbaijan,,,,,region,,"28, 139, 175b, 291b",,,
65,Baba Hasan Abdal,,Baba Hasan Abdal,,,,,shrine,Kandar,"208b, 210b",,,
66,Baba Ilahi,,Baba Ilahi,,,,,,Herat,163b,,,
67,Baba Kara,,Baba Kara,,,,,,Bajaur,218b,,,
68,Baba Khaki,,Baba Khaki,,,,,,Herat,"13, 204b",,,
69,Baba Luli,,Baba Luli,,,,,,Kabul,198a,,,
70,Baba Tükäl's Langar,,Baba Tükäl’s Langar,,,,,shrine,Andizhan,108a,Langar,,
71,Badakhshan,,Badakhshan,,,,,region,,"1b, 10b, 11b, 12b, 26, 26b, 27b, 28b, 122, 125b, 129, 130, 132, 139b, 140b, 154b—156, 181, 183b, 202b, 203, 213, 213b, 218b, 244, 244b, 270, 327",,,
72,Badam Chashma,,Badam Chashma,,,,,,? between Butkhak and Barikao,"132, 145, 242, 251b",,,
73,Badghis,,Badghis,,,,,region,N of Herat,"172b, 184b, 185, 192",,,
74,Badpush Pass,x,Badpakh Pass,34,38,69,50,,,"133, 215, 249",,34.6333333333,69.8333333333
75,Badrao,,Badrao,,,,,region,mod. Tagao,"133, 140, 249",,,
76,Baghat-i-Jam,,Baghat-i-Jam,,,,,,? Gulbahar,241,,,
77,Baghlan,,Baghlan,,,,,region,,237b,,,
78,Bahar,,Bahar,,,,,,,"244b, 245",,,
79,Jhelum River,x,Bahat,,,,,river,,"224b, 225, 273","Jhelum River, Jhelum",,
80,Bahlolpur Kalān,x,Bahlolpur,31,42,73,18,,,255,,31.7,73.3
81,Bahraigh,x,Bahraich,27,35,81,36,,,"292b, 370b",,27.5833333333,81.6
82,Dara-i Bai,?,"Bai, Dara-i",35,42,66,3,,,184b,,35.7,66.05
83,Bajaur,,Bajaur,,,,,region,,"131b, 134, 134b, 140b, 216b, 217-219b, 220b, 221, 222, 234b, 236b, 237, 243b, 249b, 250, 250b, 269, 277-78, 279b, 286, 286b",,,
84,Balkh,x,Balkh,36,46,66,53,,,"8b, 29, 36, 41, 42, 45, 57, 68, 122, 129, 130, 136, 139b, 163b, 165b, 167, 173, 175b, 183b, 184b, 185, 187b, 218b, 227, 251b, 256, 261, 291b, 308b, 347, 348, 349, 350, 380b",,36.7666666667,66.8833333333
85,Ballooa,,Ballooa,,,,,,Benares,364b,,,
86,Balinath,,Balinath,,,,,mountain,,254b,,,
87,Dara-i Bam,?,"Bam, Dara-i",35,50,63,28,,,184b,,35.8333333333,63.4666666667
88,Bāmyān,x,Bamian,34,49,67,49,,,"58b, 120b, 130b, 136, 162b, 183b, 195b, 242",,34.8166666667,67.8166666667
89,Banas,,Banas,,,,,water,,273,,,
90,Band-i-Salar,,Band-i Salar,,,,,,? Andizhan,"32, 72",,,
91,Bāngarmau,x,Bangarmau,26,54,80,13,,,338,,26.9,80.2166666667
92,Bangash,,Bangash,,,,,region,,"14, 131, 132b, 139b, 145, 146b, 147b, 148, 161, 225, 239b",,,
93,Bannu,,Bannu,,,,,region,,"128, 138, 146b, 147b, 149, 233",,,
94,Banūr,x,Banur,30,34,76,47,,,261b,,30.5666666667,76.7833333333
95,Baqishliq Valley,,Baqishliq Valley,,,,,,between Chashma-i-Tara and Gardez,238b,,,
96,Bara,,Bara,,,,,water,,"146, 243b",,,
97,Bara Koh,,Bara Koh,,,,,mountain,E of Osh,"2b, 3",,,
98,Barak,,Barak,,,,,,? near Barmal,149b,,,
99,Barakistan,,Barakistan,,,,,mountain,s of Zurmat,139b,,,
100,Baran River Banks,,Baran,,,,,region,Kabul River below junction with the Panjshir,"202, 240a",,,
101,Baran,,Baran,,,,,river,,"125, 133a—134, 135b, 142a—143, 154b, 161b, 162, 202, 248b, 240, 249a",,,
102,Bari,x,Bari,26,39,77,36,,,"273b, 285b, 330b",,26.65,77.6
103,Barikav,x,Barikao,34,19,70,43,,,"242b, 245b, 251b",,34.3166666667,70.7166666667
104,Barmal,,Barmal,,,,,region,,"128, 131, 139b, 146b, 148, 148b, 149b",Farmul,,
105,Bayāna,x,Bayana,26,54,77,17,,,"273b, 274, 291b, 292, 294, 297b, 299, 300, 302, 303-4, 307b, 309-10, 311, 318b, 325b, 327, 328, 328b, 342, 343",,26.9,77.2833333333
106,Beās River,x,Beas,,,,,water,,"258, 273",,,
107,Bēktut,x,Begtut,34,33,68,56,,,157b,,34.55,68.9333333333
108,Bal Chirāgh,x,Belcheragh,35,50,65,14,,,"41b, 165b",,35.8333333333,65.2333333333
109,Varanasi,x,Benares,25,20,83,0,,,"363b, 364b, 383, 462b",,25.3333333333,83
110,Bengal,x,Bengal,,,,,region,,"271-73, 278b, 282b, 283, 355, 357, 368-69, 376",,,
111,Beshkent,,Beshkent,,,,,,Samarkand,"94, 94b",,,
112,Bihsūd,x,Besud,34,27,70,27,,,220b,,34.45,70.45
113,Betwa,,Betwa,,,,,water,,335b,,,
114,Bhander,x,Bhander,25,44,78,45,,,"284, 332b, 336",,25.7333333333,78.75
115,Bhasāwar,x,Bhasawar,27,2,77,3,,,"310, 328, 198",Bhusawar,27.0333333333,77.05
116,Bhera,x,Bhera,32,29,72,55,,,"145, 222-23, 224—26b, 228, 228b, 229b, 231-32, 235b, 248b, 259b, 269-270b, 275b, 292, 304b, 345, 361b",,32.4833333333,72.9166666667
117,Vidisha,x,Bhilsa,22,30,77,50,,,"272, 335b",Bhilsan,22.5,77.8333333333
118,Bhujpur,,Bhujpur,,,,,,between Bihiya and Buxar,367,,,
119,Bigram,,Bigram,,,,,,Peshawar,"145b, 146, 232b, 233, 253-54",,,
